n_genomes	n_kmers	sequence
108	337014310.9557739	50%
108	205445461.44207948	75%
108	27537174.446865223	core
109	1894489304.2631173	total
109	546617387.6854247	25%
109	339780558.7662463	50%
109	208822838.58521572	75%
109	27355593.8150969	core
110	1900039198.7630901	total
110	549341895.3383433	25%
110	337043170.01117814	50%
110	207695010.2962127	75%
110	27176375.388828415	core
111	1905567994.4515855	total
111	552044421.5991737	25%
111	339759119.045208	50%
111	206586109.45718223	75%
111	26999472.666068796	core
112	1911076018.5346842	total
112	544001106.5666976	25%
112	337071013.8386562	50%
112	205495508.0468623	75%
112	26824840.518889546	core
113	1916563589.7331462	total
113	546649969.0617913	25%
113	339738472.8481347	50%
113	208752486.66162467	75%
113	26652435.137742918	core
114	1922031018.5777612	total
114	549278050.4558054	25%
114	337097890.8563694	50%
114	207665182.26698065	75%
114	26482213.978588816	core
115	1927478607.6918492	total
115	551885922.6235636	25%
115	339718573.9025481	50%
115	206595397.72916672	75%
115	26314135.71266541	core
116	1932906652.0615861	total
116	544121383.8678668	25%
116	337123846.07362384	50%
116	205542571.1553375	75%
116	26148160.178749423	core
117	1938315439.2948058	total
117	546678668.8891879	25%
117	339699379.12832177	50%
117	208687484.55787635	75%
117	25984248.337762155	core
118	1943705249.8688507	total
118	549216791.0452261	25%
118	337148921.42802453	50%
118	207637887.75653008	75%
118	25822362.22958669	core
119	1949076357.368037	total
119	551736274.514257	25%
119	339680848.4401376	50%
119	206604545.47105044	75%
119	25662464.931970395	core
120	1954429028.7112715	total
120	544232317.2803576	25%
120	337173156.0898976	50%
120	205586953.00043944	75%
120	25504520.521394886	core
121	1959763524.3702896	total
121	546704064.437212	25%
121	339662944.5720616	50%
121	208627300.73063156	75%
121	25348494.03580317	core
122	1965080098.5790033	total
122	549158088.5586237	25%
122	337196586.7380178	50%
122	207612879.76248553	75%
122	25194351.439080574	core
123	1970378999.5343819	total
123	551594866.1785682	25%
123	339645632.9219214	50%
123	206613571.35291284	75%
123	25042059.58719255	core
124	1975660469.5892825	total
124	544334977.8076673	25%
124	337219247.8102689	50%
124	205628920.34790808	75%
124	24891586.195888575	core
125	1980924745.437614	total
125	546726682.7714977	25%
125	339628881.4135728	50%
125	208571474.88204196	75%
125	24742899.809886828	core
126	1986172058.292212	total
126	549101947.6706142	25%
126	337241171.73254323	50%
126	207589946.15838933	75%
126	24595969.773459654	core
127	1991402634.0557568	total
127	551461200.3043013	25%
127	339612660.37551177	50%
127	206622495.42142013	75%
127	24450766.20234469	core
128	1996616693.4850738	total
128	544430316.5784446	25%
128	337262389.1289338	50%
128	205668710.49177337	75%
128	24307259.956910998	core
129	2001814452.3491108	total
129	546747004.374613	25%
129	339596942.43463963	50%
